State,Killed,Population,Total
Alabama,4139,5039877,8.212502011
Alaska,459,732673,6.264732016
Arizona,2597,7276316,3.569113821
Arkansas,1776,3025891,5.869345591
California,11893,39237836,3.031003035
Colorado,1883,5812069,3.239810126
Connecticut,769,3605597,2.132795207
Delaware,477,1003384,4.753912759
District of Columbia,1190,670050,17.75986867
Florida,8282,21781128,3.802374239
Georgia,5679,10799566,5.258544649
Hawaii,170,1441553,1.179283731
Idaho,346,1900923,1.820168413
Illinois,7535,12671469,5.946429731
Indiana,3613,6805985,5.308562978
Iowa,601,3193079,1.882195837
Kansas,1183,2934582,4.031238521
Kentucky,2403,4509394,5.328875676
Louisiana,4940,4624047,10.68328241
Maine,219,1372247,1.5959226
Maryland,3869,6165129,6.275618888
Massachusetts,965,6984723,1.381586643
Michigan,3871,10050811,3.851430497
Minnesota,1107,5707390,1.939590601
Mississippi,2735,2949965,9.271296439
Missouri,4824,6168187,7.820774565
Montana,326,1104271,2.952173878
Nebraska,485,1963692,2.469837429
Nevada,1584,3143991,5.038182361
New Hampshire,187,1388992,1.346300051
New Jersey,2173,9267130,2.344846786
New Mexico,1306,2115877,6.172381476
New York,3839,19835913,1.935378523
North Carolina,4987,10551162,4.726493632
North Dakota,153,774948,1.974326019
Ohio,5613,11780017,4.764848811
Oklahoma,1993,3986639,4.999198573
Oregon,1011,4246155,2.380977614
Pennsylvania,5597,12964056,4.317321678
Rhode Island,161,1095610,1.469501009
South Carolina,3654,5190705,7.039506194
South Dakota,186,895376,2.077339576
Tennessee,4339,6975218,6.220594109
Texas,11878,29527941,4.022630633
Utah,610,3322389,1.836028231
Vermont,120,645570,1.858822436
Virginia,3361,8642274,3.889022727
Washington,1820,7738692,2.351818628
West Virginia,716,1782959,4.015796213
Wisconsin,2012,5895908,3.412536288
Wyoming,139,578803,2.40150794
